"announcement","size","date","time","pdf"
"NIC Half Year Results 2018.pdf","0.47MB","2018/10/01","11:46:12","https://www.use.or.ug/uploads/announcements/NIC%20Half%20Year%20Results%202018.pdf"
"Kenya Airways  Notification ( Share Conversion).pdf","0.29MB","2018/08/30","03:22:55","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20%20Notification%20(%20Share%20Conversion).pdf"
"BAT Uganda Financial Results Half Year 2023.pdf","0.08MB","2023/09/07","04:26:41","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20Financial%20Results%20Half%20Year%202023.pdf"
"Kenya Airways Announcement of Company Secretary.pdf","0.59MB","2021/03/26","11:33:58","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20Announcement%20of%20Company%20Secretary.pdf"
"Pillar 3 Report . June 2023.pdf","1.30MB","2023/07/29","07:38:42","https://www.use.or.ug/uploads/announcements/Pillar%203%20Report%20.%20June%202023.pdf"
"26TH EASEA Press Communique  JAN 2016.pdf","1.28MB","2016/02/10","01:52:04","https://www.use.or.ug/uploads/announcements/26TH%20EASEA%20Press%20Communique%20%20JAN%202016.pdf"
"Bank of Baroda Uganda Ltd Half Year Results 2018.pdf","0.94MB","2018/09/28","09:41:27","https://www.use.or.ug/uploads/announcements/Bank%20of%20Baroda%20Uganda%20Ltd%20Half%20Year%20Results%202018.pdf"
"Uganda Clays Limited Annual Report 2019 .pdf","3.76MB","2020/10/08","09:11:18","https://www.use.or.ug/uploads/announcements/Uganda%20Clays%20Limited%20Annual%20Report%202019%20.pdf"
"POST AGM NOTICE - NIC.pdf","0.57MB","2023/07/25","03:30:00","https://www.use.or.ug/uploads/announcements/POST%20AGM%20NOTICE%20-%20NIC.pdf"
"UMEME Cautionary Notice.pdf","0.48MB","2021/03/31","09:40:34","https://www.use.or.ug/uploads/announcements/UMEME_Cautionary%20Notice.pdf"
"BAT Uganda Annual Report 2022.pdf","12.69MB","2023/06/23","11:46:05","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20Annual%20Report%202022.pdf"
"CIPLAQCIL AGM Notice (1).pdf","0.64MB","2022/07/28","03:29:47","https://www.use.or.ug/uploads/announcements/CIPLAQCIL%20AGM%20Notice%20(1).pdf"
"British American Tobacco Uganda  Half Year Results 2018.pdf","0.36MB","2018/07/27","05:02:14","https://www.use.or.ug/uploads/announcements/British%20American%20Tobacco%20Uganda%20%20Half%20Year%20Results%202018.pdf"
"BAT Uganda 2023 AGM - Proxy Form (1).pdf","0.06MB","2023/06/23","11:39:58","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%202023%20AGM%20-%20Proxy%20Form%20(1).pdf"
"EABL Board Announcement - 2 March 2021.pdf","2.44MB","2021/03/03","10:12:38","https://www.use.or.ug/uploads/announcements/EABL%20Board%20Announcement%20-%202%20March%202021.pdf"
"Umeme Interim Financial Statements 2023.pdf","0.82MB","2023/08/21","09:48:33","https://www.use.or.ug/uploads/announcements/Umeme%20Interim%20Financial%20Statements%202023.pdf"
"UCL Financial Statements 2020 .pdf","0.09MB","2021/04/30","09:29:45","https://www.use.or.ug/uploads/announcements/UCL%20Financial%20Statements%202020%20.pdf"
"Uganda Clays Limited Half Year Results 2018.pdf","0.53MB","2018/08/29","11:40:30","https://www.use.or.ug/uploads/announcements/Uganda%20Clays%20Limited%20Half%20Year%20Results%202018.pdf"
"DFCU NOTICE OF APPOINTMENT OF EXECUTIVE DIRECTOR.pdf","0.21MB","2023/08/15","10:39:31","https://www.use.or.ug/uploads/announcements/DFCU%20NOTICE%20OF%20APPOINTMENT%20OF%20EXECUTIVE%20DIRECTOR.pdf"
"SUHL -BOOKS CLOSURE AND DIVIDENT PAYMENT.pdf","0.08MB","2022/06/13","11:10:08","https://www.use.or.ug/uploads/announcements/SUHL%20-BOOKS%20CLOSURE%20AND%20DIVIDENT%20PAYMENT.pdf"
"Equity Group Holdings Press Release.pdf","1.07MB","2018/07/26","08:32:52","https://www.use.or.ug/uploads/announcements/Equity%20Group%20Holdings%20Press%20Release.pdf"
"Uchumi- Suspension Notice.jpg","1.18MB","2021/07/21","01:53:20","https://www.use.or.ug/uploads/announcements/Uchumi-%20Suspension%20Notice.jpg"
"Kenya Airways PLC Summary audited group results for the year ended 31 Dec 2020.pdf","2.02MB","2021/03/26","11:30:32","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20PLC_Summary%20audited%20group%20results%20for%20the%20year%20ended%2031%20Dec%202020.pdf"
"BAT UGANDA POST AGM NOTICE.pdf","0.57MB","2023/07/07","12:59:21","https://www.use.or.ug/uploads/announcements/BAT%20UGANDA%20POST%20AGM%20NOTICE.pdf"
"Uganda Clays Ltd Half Year 2022 Financial Statement.pdf","0.10MB","2022/08/29","10:31:25","https://www.use.or.ug/uploads/announcements/Uganda%20Clays%20Ltd%20Half%20Year%202022%20Financial%20Statement.pdf"
"MTN UGANDA Q1 2022 RESULTS RELEASE.pdf","1.78MB","2022/05/03","11:43:10","https://www.use.or.ug/uploads/announcements/MTN%20UGANDA%20Q1%202022%20RESULTS%20RELEASE.pdf"
"DFCU CAUTIONARY ANNOUNCEMENT NOTICE.pdf","0.10MB","2022/01/28","11:44:55","https://www.use.or.ug/uploads/announcements/DFCU%20CAUTIONARY%20ANNOUNCEMENT%20NOTICE.pdf"
"UCL Profit Warning H1 Results 2023.pdf","0.30MB","2023/08/18","10:13:32","https://www.use.or.ug/uploads/announcements/UCL%20Profit%20Warning%20H1%20Results%202023.pdf"
"EABL Director Resignation Notice May 2016.pdf","0.41MB","2016/05/13","04:51:22","https://www.use.or.ug/uploads/announcements/EABL%20Director%20Resignation%20Notice%20May%202016.pdf"
"CiplaQCi Extension of Retail Offer Period.pdf","0.09MB","2018/08/24","10:57:42","https://www.use.or.ug/uploads/announcements/CiplaQCi%20Extension%20of%20Retail%20Offer%20Period.pdf"
"Notice for Extraordinary General Meeting.pdf","0.53MB","2023/02/24","01:18:20","https://www.use.or.ug/uploads/announcements/Notice%20for%20Extraordinary%20General%20Meeting.pdf"
"Umeme Half Year Results 2018.pdf","1.62MB","2018/08/20","01:52:34","https://www.use.or.ug/uploads/announcements/Umeme%20Half%20Year%20Results%202018.pdf"
"EABL Announcement - Change in the Board - Japheth Katto.pdf","3.56MB","2023/03/02","10:03:42","https://www.use.or.ug/uploads/announcements/EABL%20Announcement%20-%20Change%20in%20the%20Board%20-%20Japheth%20Katto.pdf"
"Market Notice -New Vision Security Halt Lift-21022022.pdf","0.11MB","2022/02/22","08:16:54","https://www.use.or.ug/uploads/announcements/Market%20Notice%20-New%20Vision%20Security%20Halt%20Lift-21022022.pdf"
"Umeme Director Announcement 22March2021.pdf","0.22MB","2021/03/26","11:46:19","https://www.use.or.ug/uploads/announcements/Umeme_Director%20Announcement_22March2021.pdf"
"Bank of Baroda Uganda Dividend Payment Notice.pdf","0.09MB","2023/09/07","04:26:39","https://www.use.or.ug/uploads/announcements/Bank%20of%20Baroda%20Uganda%20Dividend%20Payment%20Notice.pdf"
"EQUITY GROUP HOLDINGS PLC- 18TH ANNUAL AGM NOTICE.pdf","0.06MB","2022/06/06","03:44:30","https://www.use.or.ug/uploads/announcements/EQUITY%20GROUP%20HOLDINGS%20PLC-%2018TH%20ANNUAL%20AGM%20NOTICE.pdf"
"DYER AND BLAIR 2021 FINANCIALS.pdf","0.42MB","2022/05/10","09:12:40","https://www.use.or.ug/uploads/announcements/DYER%20AND%20BLAIR%202021%20FINANCIALS.pdf"
"20210211 BATU Results Announcement 2020 Final.pdf","0.06MB","2021/02/12","10:09:13","https://www.use.or.ug/uploads/announcements/20210211%20BATU%20Results%20Announcement%202020_Final.pdf"
"DFCU Announcement of Retirement of Chief Executive Officer.pdf","4.57MB","2018/11/02","12:32:58","https://www.use.or.ug/uploads/announcements/DFCU%20Announcement%20of%20Retirement%20of%20Chief%20Executive%20Officer.pdf"
"UMEME-POST AGM NOTICE.pdf","0.23MB","2022/05/20","10:47:47","https://www.use.or.ug/uploads/announcements/UMEME-POST%20AGM%20NOTICE.pdf"
"ANNOUNCEMENT OF CHANGES IN BOARD OF BANK OF BARODA UGANDA LIMITED.pdf","0.43MB","2022/03/30","10:56:07","https://www.use.or.ug/uploads/announcements/ANNOUNCEMENT%20OF%20CHANGES%20IN%20BOARD%20OF%20BANK%20OF%20BARODA%20UGANDA%20LIMITED.pdf"
"MTN UGANDA LIMITED AGM NOTICE.pdf","0.68MB","2022/05/06","09:25:48","https://www.use.or.ug/uploads/announcements/MTN%20UGANDA%20LIMITED%20AGM%20NOTICE.pdf"
"STANBIC UGANDA HOLDINDS NOTICE  - FLYHUB UGANDA.pdf","0.80MB","2020/11/25","10:42:23","https://www.use.or.ug/uploads/announcements/STANBIC%20UGANDA%20HOLDINDS%20NOTICE%20%20-%20FLYHUB%20UGANDA.pdf"
"DFCU 2020 FINANCIALS .pdf","0.36MB","2021/03/31","09:42:58","https://www.use.or.ug/uploads/announcements/DFCU%202020%20FINANCIALS%20.pdf"
"MTN U-APPOINTMENT OF BOARD OF DIRECTORS.pdf","0.23MB","2023/04/05","01:25:20","https://www.use.or.ug/uploads/announcements/MTN%20U-APPOINTMENT%20OF%20BOARD%20OF%20DIRECTORS.pdf"
"New Vision AGM Notice 2020.pdf","0.52MB","2020/11/04","03:25:04","https://www.use.or.ug/uploads/announcements/New%20Vision%20AGM%20Notice%202020.pdf"
"Notice of Appointment half Page-01.pdf","0.15MB","2021/04/14","12:13:57","https://www.use.or.ug/uploads/announcements/Notice%20of%20Appointment_half%20Page-01.pdf"
"CiplaQCIL Audited Annual Financial Statements 31st March 2022 (1).pdf","0.67MB","2022/05/20","04:56:54","https://www.use.or.ug/uploads/announcements/CiplaQCIL%20Audited%20Annual%20Financial%20Statements%2031st%20March%202022%20(1).pdf"
"VISION GROUP - NOTICE OF APPOINTMENTS.jpg","0.61MB","2023/02/23","10:56:36","https://www.use.or.ug/uploads/announcements/VISION%20GROUP%20-%20NOTICE%20OF%20APPOINTMENTS.jpg"
"Appointment of company secretary March 2016.pdf","0.04MB","2016/03/23","12:43:08","https://www.use.or.ug/uploads/announcements/Appointment%20of%20company%20secretary%20March%202016.pdf"
"NIC Publication of 2022 Annual Accounts.pdf","0.19MB","2023/05/19","12:12:54","https://www.use.or.ug/uploads/announcements/NIC%20Publication%20of%202022%20Annual%20Accounts.pdf"
"MTNU IPO - Abridged Prospectus.pdf","7.83MB","2021/10/11","12:10:46","https://www.use.or.ug/uploads/announcements/MTNU%20IPO%20-%20Abridged%20Prospectus.pdf"
"NIC HOLDINGS AUDITED FINANCIALS FY 2021.pdf","0.37MB","2022/05/31","09:55:49","https://www.use.or.ug/uploads/announcements/NIC%20HOLDINGS%20AUDITED%20FINANCIALS%20FY%202021.pdf"
"Umeme Post AGM Notice.pdf","0.64MB","2023/05/19","12:12:51","https://www.use.or.ug/uploads/announcements/Umeme%20Post%20AGM%20Notice.pdf"
"DIRECTOR APPOINTMENTS SUHL-01.pdf","11.36MB","2023/08/18","10:27:46","https://www.use.or.ug/uploads/announcements/DIRECTOR%20APPOINTMENTS_SUHL-01.pdf"
"CIPLA Quality Chemical Industries Limited H1 FY22 Interim Results.pdf","0.49MB","2021/11/09","11:24:25","https://www.use.or.ug/uploads/announcements/CIPLA%20Quality%20Chemical%20Industries%20Limited%20H1%20FY22%20Interim%20Results.pdf"
"BOBU ANNUAL REPORT AND FINANCIAL STATEMENTS.pdf","11.07MB","2022/06/24","10:49:16","https://www.use.or.ug/uploads/announcements/BOBU%20ANNUAL%20REPORT%20AND%20FINANCIAL%20STATEMENTS.pdf"
"STANBIC UGANDA HOLDINGS LIMITED 2019 DIVIDENDS APPROVAL .pdf","0.16MB","2020/12/30","12:41:30","https://www.use.or.ug/uploads/announcements/STANBIC%20UGANDA%20HOLDINGS%20LIMITED%202019%20DIVIDENDS%20APPROVAL%20.pdf"
"MTN UGANDA LIMITED FY 2021 ANNUAL RESULTS STATEMENT.pdf","3.21MB","2022/03/07","10:00:09","https://www.use.or.ug/uploads/announcements/MTN%20UGANDA%20LIMITED%20FY%202021%20ANNUAL%20RESULTS%20STATEMENT.pdf"
"APPOINTMENT OF NEW CEO- STANBIC UGANDA HOLDINGS.pdf","1.74MB","2020/11/06","10:56:01","https://www.use.or.ug/uploads/announcements/APPOINTMENT%20OF%20NEW%20CEO-%20STANBIC%20UGANDA%20HOLDINGS.pdf"
"DFCU POST AGM NOTICE.pdf","0.08MB","2023/07/07","01:02:08","https://www.use.or.ug/uploads/announcements/DFCU%20POST%20AGM%20NOTICE.pdf"
"BAT UGANDA - FINANCIAL STATEMENTS 2021.pdf","0.53MB","2022/05/25","03:49:10","https://www.use.or.ug/uploads/announcements/BAT%20UGANDA%20-%20FINANCIAL%20STATEMENTS%202021.pdf"
"Umeme Financials 31 December 2022.pdf","0.14MB","2023/03/27","09:26:18","https://www.use.or.ug/uploads/announcements/Umeme%20Financials%2031%20December%202022.pdf"
"Public Statement-Alleged Data Leak at USE.pdf","0.12MB","2022/06/15","09:00:18","https://www.use.or.ug/uploads/announcements/Public%20Statement-Alleged%20Data%20Leak%20at%20USE.pdf"
"NVL Security halt-Market Notice2022.pdf","0.07MB","2022/02/11","01:01:26","https://www.use.or.ug/uploads/announcements/NVL%20Security%20halt-Market%20Notice2022.pdf"
"BOBU 2020 Dividend Payment Notice.pdf","0.40MB","2022/06/21","09:59:18","https://www.use.or.ug/uploads/announcements/BOBU%202020%20Dividend%20Payment%20Notice.pdf"
"EABL Special Dividend Announcement.pdf","0.43MB","2016/05/02","11:33:04","https://www.use.or.ug/uploads/announcements/EABL%20Special%20Dividend%20Announcement.pdf"
"East African Breweries Limited - Results to 31 December 2022.pdf","0.61MB","2023/01/27","01:32:27","https://www.use.or.ug/uploads/announcements/East%20African%20Breweries%20Limited%20-%20Results%20to%2031%20December%202022.pdf"
"BAT Uganda AGM Questions from Shareholders.pdf","0.43MB","2022/06/16","09:57:47","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20AGM%20Questions%20from%20Shareholders.pdf"
"NVL- PROFIT WARNING.pdf","1.07MB","2023/09/15","09:55:28","https://www.use.or.ug/uploads/announcements/NVL-%20PROFIT%20WARNING.pdf"
"DCFU LIMITED ANNOUNCEMENT-DM.PDF","0.23MB","2021/03/31","09:40:13","https://www.use.or.ug/uploads/announcements/DCFU%20LIMITED%20ANNOUNCEMENT-DM.PDF"
"Equity Bank- Appointment of  POLYCARP IGATHE as Managing Director.pdf","0.25MB","2018/09/24","11:05:38","https://www.use.or.ug/uploads/announcements/Equity%20Bank-%20Appointment%20of%20%20POLYCARP%20IGATHE%20as%20Managing%20Director.pdf"
