"announcement","size","date","time","pdf"
"EABL 2023 AGM Resolutions.pdf","0.16MB","2023/09/15","09:55:10","https://www.use.or.ug/uploads/announcements/EABL%202023%20AGM%20Resolutions.pdf"
"CENTUM INVESTMENT Co. Plc. - FINANCIAL RESULTS FOR THE SIX-MONTH PERIOD ENDED 30 SEPTEMBER 2021.pdf","0.10MB","2021/11/30","12:30:52","https://www.use.or.ug/uploads/announcements/CENTUM%20INVESTMENT%20Co.%20Plc.%20-%20FINANCIAL%20RESULTS%20FOR%20THE%20SIX-MONTH%20PERIOD%20ENDED%2030%20SEPTEMBER%202021.pdf"
"MTN Uganda Limited HY23 Earnings Release.pdf","0.49MB","2023/08/04","08:38:00","https://www.use.or.ug/uploads/announcements/MTN%20Uganda%20Limited%20HY23%20Earnings%20Release.pdf"
"Kenya Airways Half Year Results 2018.pdf","1.85MB","2018/08/29","11:37:58","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20Half%20Year%20Results%202018.pdf"
"SHUL AGM NOTICE 2023.pdf","0.43MB","2023/05/11","08:49:39","https://www.use.or.ug/uploads/announcements/SHUL%20AGM%20NOTICE%202023.pdf"
"BAT Uganda 2022 Financial Results.pdf","0.27MB","2023/03/06","08:59:16","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%202022%20Financial%20Results.pdf"
"EQUITY GROUP HOLDINGS PLC AND SUBSIDIARIES-AUDITED FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST DECEMBER 2021.pdf","1.14MB","2022/03/22","10:30:28","https://www.use.or.ug/uploads/announcements/EQUITY%20GROUP%20HOLDINGS%20PLC%20AND%20SUBSIDIARIES-AUDITED%20FINANCIAL%20STATEMENTS%20FOR%20THE%20PERIOD%20ENDED%2031ST%20DECEMBER%202021.pdf"
"New Vision Financials for the year ended June 2020 Advert.pdf","0.75MB","2020/10/08","09:02:14","https://www.use.or.ug/uploads/announcements/New%20Vision%20Financials%20for%20the%20year%20ended%20June%202020%20Advert.pdf"
"Stanbic Uganda Holdings Limited- Half Year Results 2023.pdf","3.41MB","2023/08/18","10:15:15","https://www.use.or.ug/uploads/announcements/Stanbic%20Uganda%20Holdings%20Limited-%20Half%20Year%20Results%202023.pdf"
"UCL Post AGM Notice.PDF","0.24MB","2023/07/04","09:12:33","https://www.use.or.ug/uploads/announcements/UCL%20Post%20AGM%20Notice.PDF"
"Bank of Baroda (Uganda) Limited- AGM notice.pdf","0.64MB","2022/06/24","10:27:13","https://www.use.or.ug/uploads/announcements/Bank%20of%20Baroda%20(Uganda)%20Limited-%20AGM%20notice.pdf"
"UCL Intergrated Report 2021.pdf","28.62MB","2022/06/28","09:53:51","https://www.use.or.ug/uploads/announcements/UCL%20Intergrated%20Report%202021.pdf"
"New Vision Full Year Results 2017.pdf","0.71MB","2018/10/22","10:05:56","https://www.use.or.ug/uploads/announcements/New%20Vision%20Full%20Year%20Results%202017.pdf"
"Umeme Ltd Notification of change in board of Directors August 2015.pdf","0.21MB","2016/02/10","01:52:14","https://www.use.or.ug/uploads/announcements/Umeme%20Ltd%20Notification%20of%20change%20in%20board%20of%20Directors%20August%202015.pdf"
"DFCU Limited Post Annual General Meeting Resolutions.pdf","0.04MB","2018/07/26","08:32:51","https://www.use.or.ug/uploads/announcements/DFCU%20Limited%20Post%20Annual%20General%20Meeting%20Resolutions.pdf"
"NewVision-Profit Warning.pdf","0.42MB","2021/02/12","10:09:32","https://www.use.or.ug/uploads/announcements/NewVision-Profit%20Warning.pdf"
"MTN Uganda Limited- News Advertorial.pdf","4.42MB","2023/03/06","10:05:03","https://www.use.or.ug/uploads/announcements/MTN%20Uganda%20Limited-%20News%20Advertorial.pdf"
